original_ibes,new_ibes,new_compustat,original_compustat,new_ibes2,new_compustat2
KRSPY KREME,KRSPY KREME,KRISPY KREME DOUGHNUTS,KRISPY KREME DOUGHNUTS INC,KRSPY KREME,KRISPY KREME DOUGHNUTS
KULICKE & SOFFA,KULICKE & SOFFA,KULICKE & SOFFA INDUSTRIES,KULICKE & SOFFA INDUSTRIES,KULICKE  SOFFA,KULICKE  SOFFA INDUSTRIES
L BRANDS,L BRANDS,L BRANDS,L BRANDS INC,L BRANDS,L BRANDS
L BRANDS INC,L BRANDS,L BRANDS,L BRANDS INC,L BRANDS,L BRANDS
L3,L3,L3 TECHNOLOGIES,L3 TECHNOLOGIES INC,L3,L3 TECHNOLOGY
LA PACIFIC CORP,LA PACIFIC,LOUISIANA-PACIFIC,LOUISIANA-PACIFIC CORP,LA PACIFIC,LOUISIANAPACIFIC
LA-Z-BOY INC,LA-Z-BOY,LA-Z-BOY,LA-Z-BOY INC,LAZBOY,LAZBOY
LABORATORY CORP,LABORATORY,LABORATORY CP OF AMER HLDGS,LABORATORY CP OF AMER HLDGS,LABORATORY,LABORATORY CP OF AMER HLDGS
LAM RESEARCH,LAM RESEARCH,LAM RESEARCH,LAM RESEARCH CORP,LAM RESEARCH,LAM RESEARCH
LAMAR,LAMAR,LAMAR ADVERTISING CO  -CL A,LAMAR ADVERTISING CO  -CL A,LAMAR,LAMAR ADVERTISING CO  CL A
LAMAR ADVERTISIN,LAMAR ADVERTISIN,LAMAR ADVERTISING CO  -CL A,LAMAR ADVERTISING CO  -CL A,LAMAR ADVERTISIN,LAMAR ADVERTISING CO  CL A
LAMB WESTON,LAMB WESTON,LAMB WESTON,LAMB WESTON HOLDINGS INC,LAMB WESTON,LAMB WESTON HOLDINGS
LANCASTER COLONY,LANCASTER COLONY,LANCASTER COLONY,LANCASTER COLONY CORP,LANCASTER COLONY,LANCASTER COLONY
LANDAUER INC,LANDAUER,LANDAUER,LANDAUER INC,LANDAUER,LANDAUER
LANDSTAR SYSTEM,LANDSTAR SYSTEM,LANDSTAR SYSTEM,LANDSTAR SYSTEM INC,LANDSTAR SYSTEMS,LANDSTAR SYSTEMS
LANNETT CO INC,LANNETT CO,LANNETT CO,LANNETT CO INC,LANNETT CO,LANNETT CO
LANTHEUS HLDG,LANTHEUS HLDG,LANTHEUS,LANTHEUS HOLDINGS INC,LANTHEUS HLDG,LANTHEUS HOLDINGS
LAS VEGAS SANDS,LAS VEGAS SANDS,LAS VEGAS SANDS,LAS VEGAS SANDS CORP,LAS VEGAS SANDS,LAS VEGAS SANDS
LASALLE HOTEL PR,LASALLE HOTEL PR,LASALLE HOTEL PROPERTIES,LASALLE HOTEL PROPERTIES,LASALLE HOTEL PR,LASALLE HOTEL PROPERTIES
LATTICE SEMICOND,LATTICE SEMICOND,LATTICE SEMICONDUCTOR,LATTICE SEMICONDUCTOR CORP,LATTICE SEMICOND,LATTICE SEMICONDUCTOR
LAWSON PRODS INC,LAWSON PRODS,LAWSON PRODUCTS,LAWSON PRODUCTS,LAWSON PRODS,LAWSON PRODUCTS
LCA-VISION INC.,LCA-VISION.,LCA VISION,LCA VISION INC,LCAVISION,LCA VISION
LCI INDUSTRIES,LCI INDUSTRIES,LCI INDUSTRIES,LCI INDUSTRIES,LCI INDUSTRIES,LCI INDUSTRIES
LEAR CORP,LEAR,LEAR,LEAR CORP,LEAR,LEAR
LEE ENTERPRISES,LEE ENTERPRISES,LEE ENTERPRISES,LEE ENTERPRISES INC,LEE ENTERPRISES,LEE ENTERPRISES
LEGACYTEXAS,LEGACYTEXAS,LEGACY TEX FINANCIAL GRP,LEGACY TEX FINANCIAL GRP INC,LEGACYTEXAS,LEGACY TEX FINANCIAL GROUP
LEGG MASON,LEGG MASON,LEGG MASON,LEGG MASON INC,LEGG MASON,LEGG MASON
LEGG MASON INC,LEGG MASON,LEGG MASON,LEGG MASON INC,LEGG MASON,LEGG MASON
LEGGETT  PLATT,LEGGETT  PLATT,LEGGETT & PLATT,LEGGETT & PLATT INC,LEGGETT  PLATT,LEGGETT  PLATT
LEGGETT & PLATT,LEGGETT & PLATT,LEGGETT & PLATT,LEGGETT & PLATT INC,LEGGETT  PLATT,LEGGETT  PLATT
LEIDOS HOLDINGS,LEIDOS,LEIDOS,LEIDOS HOLDINGS INC,LEIDOS HOLDINGS,LEIDOS HOLDINGS
LEIDOS HOLDGS,LEIDOS HOLDGS,LEIDOS,LEIDOS HOLDINGS INC,LEIDOS HOLDGS,LEIDOS HOLDINGS
LEMAITRE,LEMAITRE,LEMAITRE VASCULAR,LEMAITRE VASCULAR INC,LEMAITRE,LEMAITRE VASCULAR
LEMAITRE VASCULA,LEMAITRE VASCULA,LEMAITRE VASCULAR,LEMAITRE VASCULAR INC,LEMAITRE VASCULA,LEMAITRE VASCULAR
LENDINGTREE INC,LENDINGTREE,LENDINGTREE,LENDINGTREE INC,LENDINGTREE,LENDINGTREE
LENDINGTREE US,LENDINGTREE US,LENDINGTREE,LENDINGTREE INC,LENDINGTREE US,LENDINGTREE
LENNAR,LENNAR,LENNAR,LENNAR CORP,LENNAR,LENNAR
LENNAR CP,LENNAR CP,LENNAR,LENNAR CORP,LENNAR,LENNAR
LENNOX INT,LENNOX INT,LENNOX INTERNATIONAL,LENNOX INTERNATIONAL INC,LENNOX INT,LENNOX INTERNATIONAL
LEVEL 3 COMM,LEVEL 3 COMM,LEVEL 3 COMMUNICATIONS,LEVEL 3 COMMUNICATIONS INC,LEVEL 3 COMM,LEVEL 3 COMMUNICATIONS
LEXINGTON REALTY,LEXINGTON REALTY,LEXINGTON REALTY TRUST,LEXINGTON REALTY TRUST,LEXINGTON REALTY,LEXINGTON REALTY TRUST
LEXMARK INTL,LEXMARK INTL,LEXMARK INTL  -CL A,LEXMARK INTL INC  -CL A,LEXMARK INTERNATIONAL,LEXMARK INTERNATIONAL INC  CL A
LEXMARK INTL INC,LEXMARK INTL,LEXMARK INTL  -CL A,LEXMARK INTL INC  -CL A,LEXMARK INTERNATIONAL,LEXMARK INTERNATIONAL INC  CL A
LGI HOMES INC,LGI HOMES,LGI HOMES,LGI HOMES INC,LGI HOMES,LGI HOMES
LHC GROUP,LHC GROUP,LHC GROUP,LHC GROUP INC,LHC GROUP,LHC GROUP
LIBBEY INC,LIBBEY,LIBBEY,LIBBEY INC,LIBBEY,LIBBEY
LIBERTY PROP TST,LIBERTY PROP TST,LIBERTY PROPERTY TRUST,LIBERTY PROPERTY TRUST,LIBERTY PROP TST,LIBERTY PROPERTIES TRUST
LIBERTY PROPERTY,LIBERTY PROPERTY,LIBERTY PROPERTY TRUST,LIBERTY PROPERTY TRUST,LIBERTY PROPERTIES,LIBERTY PROPERTIES TRUST
LIFE STORAGE,LIFE STORAGE,LIFE STORAGE,LIFE STORAGE INC,LIFE STORAGE,LIFE STORAGE
LIFE TIME FITNES,LIFE TIME FITNES,LIFE TIME FITNESS,LIFE TIME FITNESS INC,LIFE TIME FITNES,LIFE TIME FITNESS
LIFEPOINT HEALTH,LIFEPOINT HEALTH,LIFEPOINT HEALTH,LIFEPOINT HEALTH INC,LIFEPOINT HEALTH,LIFEPOINT HEALTH
LIFEPOINT HOSP,LIFEPOINT HOSP,LIFEPOINT HEALTH,LIFEPOINT HEALTH INC,LIFEPOINT HOSP,LIFEPOINT HEALTH
LIFEPOINT HOSP.,LIFEPOINT HOSP.,LIFEPOINT HEALTH,LIFEPOINT HEALTH INC,LIFEPOINT HOSP,LIFEPOINT HEALTH
LIGAND PHARMA,LIGAND PHARMA,LIGAND PHARMACEUTICAL,LIGAND PHARMACEUTICAL INC,LIGAND PHARMA,LIGAND PHARMACEUTICAL
LILLY,LILLY,LILLY (ELI) & CO,LILLY (ELI) & CO,LILLY,LILLY ELI 
LINCOLN EDL SVCS,LINCOLN EDL SVCS,LINCOLN EDUCATIONAL SERVICES,LINCOLN EDUCATIONAL SERVICES,LINCOLN EDL SERVICES,LINCOLN EDUCATIONAL SERVICES
LINCOLN ELEC HO,LINCOLN ELEC HO,LINCOLN ELECTRIC HLDGS,LINCOLN ELECTRIC HLDGS INC,LINCOLN ELEC HO,LINCOLN ELECTRIC HLDGS
LINCOLN NATL,LINCOLN NATL,LINCOLN NATIONAL,LINCOLN NATIONAL CORP,LINCOLN NATL,LINCOLN NATIONAL
LINDSAY,LINDSAY,LINDSAY,LINDSAY CORP,LINDSAY,LINDSAY
LINEAR TECH,LINEAR TECH,LINEAR TECHNOLOGY,LINEAR TECHNOLOGY CORP,LINEAR TECHNOLOGY,LINEAR TECHNOLOGY
LIQUIDITY SERVIC,LIQUIDITY SERVIC,LIQUIDITY SERVICES,LIQUIDITY SERVICES INC,LIQUIDITY SERVICES,LIQUIDITY SERVICES
LITHIA MOTORS,LITHIA MOTORS,LITHIA MOTORS  -CL A,LITHIA MOTORS INC  -CL A,LITHIA MOTORS,LITHIA MOTORS INC  CL A
LITTELFUSE INC,LITTELFUSE,LITTELFUSE,LITTELFUSE INC,LITTELFUSE,LITTELFUSE
LIVANOVA,LIVANOVA,LIVANOVA,LIVANOVA PLC,LIVANOVA,LIVANOVA
LIVE NATION,LIVE NATION,LIVE NATION ENTERTAINMENT,LIVE NATION ENTERTAINMENT,LIVE NATION,LIVE NATION ENTERTAINMENT
LIVEPERSON,LIVEPERSON,LIVEPERSON,LIVEPERSON INC,LIVEPERSON,LIVEPERSON
LKQ,LKQ,LKQ,LKQ CORP,LKQ,LKQ
LKQ CORP,LKQ,LKQ,LKQ CORP,LKQ,LKQ
LKQCORP,LKQCORP,LKQ,LKQ CORP,LKQCORP,LKQ
LNC,LNC,LINCOLN NATIONAL,LINCOLN NATIONAL CORP,LNC,LINCOLN NATIONAL
LOCKHEED,LOCKHEED,LOCKHEED MARTIN,LOCKHEED MARTIN CORP,LOCKHEED,LOCKHEED MARTIN
LOCKHEED MARTIN,LOCKHEED MARTIN,LOCKHEED MARTIN,LOCKHEED MARTIN CORP,LOCKHEED MARTIN,LOCKHEED MARTIN
LOEWS,LOEWS,LOEWS,LOEWS CORP,LOEWS,LOEWS
LOEWS CORP,LOEWS,LOEWS,LOEWS CORP,LOEWS,LOEWS
LOEWS CP,LOEWS CP,LOEWS,LOEWS CORP,LOEWS,LOEWS
LOGMEIN INC,LOGMEIN,LOGMEIN,LOGMEIN INC,LOGMEIN,LOGMEIN
LOJACK CP,LOJACK CP,LOJACK,LOJACK CORP,LOJACK,LOJACK
LORILLARD INC,LORILLARD,LORILLARD,LORILLARD INC,LORILLARD,LORILLARD
LOUISIANA-PACIFC,LOUISIANA-PACIFC,LOUISIANA-PACIFIC,LOUISIANA-PACIFIC CORP,LOUISIANAPACIFC,LOUISIANAPACIFIC
LOWES,LOWES,LOWE'S,LOWE'S COS INC,LOWES,LOWES COS
LOWES CO,LOWES CO,LOWE'S,LOWE'S COS INC,LOWES,LOWES COS
LSB INDUSTRIES,LSB INDUSTRIES,LSB INDUSTRIES,LSB INDUSTRIES INC,LSB INDUSTRIES,LSB INDUSTRIES
LSC COMMNS,LSC COMMNS,LSC COMMUNICATIONS,LSC COMMUNICATIONS INC,LSC COMMNS,LSC COMMUNICATIONS
LSI CORP,LSI,LSI,LSI CORP,LSI,LSI
LTC PPTYS INC,LTC PPTYS,LTC PROPERTIES,LTC PROPERTIES INC,LTC PPTYS,LTC PROPERTIES
LUBY'S INC.,LUBY'S.,LUBYS,LUBYS INC,LUBYS,LUBYS
LUBYS,LUBYS,LUBYS,LUBYS INC,LUBYS,LUBYS
LUMBER LIQUIDATE,LUMBER LIQUIDATE,LUMBER LIQUIDATORS HLDGS,LUMBER LIQUIDATORS HLDGS INC,LUMBER LIQUIDATE,LUMBER LIQUIDATORS HLDGS
LUMBER LIQUIDATO,LUMBER LIQUIDATO,LUMBER LIQUIDATORS HLDGS,LUMBER LIQUIDATORS HLDGS INC,LUMBER LIQUIDATO,LUMBER LIQUIDATORS HLDGS
LUMENTUM HLDG,LUMENTUM HLDG,LUMENTUM,LUMENTUM HOLDINGS INC,LUMENTUM HLDG,LUMENTUM HOLDINGS
LUMINEX,LUMINEX,LUMINEX,LUMINEX CORP,LUMINEX,LUMINEX
LUMOS NETWORKS,LUMOS NETWORKS,LUMOS NETWORKS,LUMOS NETWORKS CORP,LUMOS NETWORKS,LUMOS NETWORKS
LYDALL INC,LYDALL,LYDALL,LYDALL INC,LYDALL,LYDALL
LYONDELL,LYONDELL,LYONDELLBASELL INDUSTRIES NV,LYONDELLBASELL INDUSTRIES NV,LYONDELL,LYONDELLBASELL INDUSTRIES
LYONDELLBASELL I,LYONDELLBASELL I,LYONDELLBASELL INDUSTRIES NV,LYONDELLBASELL INDUSTRIES NV,LYONDELLBASELL I,LYONDELLBASELL INDUSTRIES
M & T BANK CORP,M & T BANK,M & T BANK,M & T BANK CORP,M  T BANK,M  T BANK
M&T BNK US,M&T BNK US,M & T BANK,M & T BANK CORP,MT BNK US,M  T BANK
M/I HOMES,M/I HOMES,M/I HOMES,M/I HOMES INC,MI HOMES,MI HOMES
MACERICH,MACERICH,MACERICH CO,MACERICH CO,MACERICH,MACERICH
MACK-CALI REALTY,MACK-CALI REALTY,MACK-CALI REALTY,MACK-CALI REALTY CORP,MACKCALI REALTY,MACKCALI REALTY
MACY'S,MACY'S,MACY'S,MACY'S INC,MACYS,MACYS
MACY'S INC,MACY'S,MACY'S,MACY'S INC,MACYS,MACYS
MACYS,MACYS,MACY'S,MACY'S INC,MACYS,MACYS
MADDEN STEVE LTD,MADDEN STEVE,MADDEN STEVEN,MADDEN STEVEN LTD,MADDEN STEVE,MADDEN STEVEN
MAGELLAN HEALTH,MAGELLAN HEALTH,MAGELLAN HEALTH,MAGELLAN HEALTH INC,MAGELLAN HEALTH,MAGELLAN HEALTH
MAGNETEK INC,MAGNETEK,MAGNETEK,MAGNETEK INC,MAGNETEK,MAGNETEK
MAIDEN HOLDINGS,MAIDEN,MAIDEN,MAIDEN HOLDINGS LTD,MAIDEN HOLDINGS,MAIDEN HOLDINGS
MALINCKRODT,MALINCKRODT,MALLINCKRODT,MALLINCKRODT PLC,MALINCKRODT,MALLINCKRODT
MALLINCKRODT PLC,MALLINCKRODT,MALLINCKRODT,MALLINCKRODT PLC,MALLINCKRODT,MALLINCKRODT
MANHATTAN ASSOC,MANHATTAN ASSOC,MANHATTAN ASSOCIATES,MANHATTAN ASSOCIATES INC,MANHATTAN ASSOCIATE,MANHATTAN ASSOCIATE
MANITOWOC INC,MANITOWOC,MANITOWOC CO,MANITOWOC CO,MANITOWOC,MANITOWOC
MANPOWER INC,MANPOWER,MANPOWERGROUP,MANPOWERGROUP,MANPOWER,MANPOWERGROUP
MANPOWERGROUP IN,MANPOWERGROUP IN,MANPOWERGROUP,MANPOWERGROUP,MANPOWERGROUP IN,MANPOWERGROUP
MANTECH INTL,MANTECH INTL,MANTECH INTL,MANTECH INTL CORP,MANTECH INTERNATIONAL,MANTECH INTERNATIONAL
MARATHN OIL,MARATHN OIL,MARATHON OIL,MARATHON OIL CORP,MARATHN OIL,MARATHON OIL
MARATHON OIL CP,MARATHON OIL CP,MARATHON OIL,MARATHON OIL CORP,MARATHON OIL,MARATHON OIL
MARATHON PETROLE,MARATHON PETROLE,MARATHON PETROLEUM,MARATHON PETROLEUM CORP,MARATHON PETROLE,MARATHON PETROLEUM
MARCUS & MILLICH,MARCUS & MILLICH,MARCUS & MILLICHAP,MARCUS & MILLICHAP INC,MARCUS  MILLICH,MARCUS  MILLICHAP
MARCUS CP,MARCUS CP,MARCUS,MARCUS CORP,MARCUS,MARCUS
MARCUS&MILLICHAP,MARCUS&MILLICHAP,MARCUS & MILLICHAP,MARCUS & MILLICHAP INC,MARCUSMILLICHAP,MARCUS  MILLICHAP
MARCUSMILLICHAP,MARCUSMILLICHAP,MARCUS & MILLICHAP,MARCUS & MILLICHAP INC,MARCUSMILLICHAP,MARCUS  MILLICHAP
MARINEMAX INC,MARINEMAX,MARINEMAX,MARINEMAX INC,MARINEMAX,MARINEMAX
MARINEMAX US,MARINEMAX US,MARINEMAX,MARINEMAX INC,MARINEMAX US,MARINEMAX
MARKETAXESS HLDG,MARKETAXESS HLDG,MARKETAXESS,MARKETAXESS HOLDINGS INC,MARKETAXESS HLDG,MARKETAXESS HOLDINGS
MARRIOTT INTL,MARRIOTT INTL,MARRIOTT INTL,MARRIOTT INTL INC,MARRIOTT INTERNATIONAL,MARRIOTT INTERNATIONAL
MARRIOTT INTNL,MARRIOTT INTNL,MARRIOTT INTL,MARRIOTT INTL INC,MARRIOTT INTNL,MARRIOTT INTERNATIONAL
MARRIOTT VACATIO,MARRIOTT VACATIO,MARRIOTT VACATIONS WORLDWIDE,MARRIOTT VACATIONS WORLDWIDE,MARRIOTT VACATIO,MARRIOTT VACATIONS WORLDWIDE
MARSH & MCLENNAN,MARSH & MCLENNAN,MARSH & MCLENNAN COS,MARSH & MCLENNAN COS,MARSH  MCLENNAN,MARSH  MCLENNAN COS
MARSH MCLENNAN,MARSH MCLENNAN,MARSH & MCLENNAN COS,MARSH & MCLENNAN COS,MARSH MCLENNAN,MARSH  MCLENNAN COS
MARTEN TRANS LTD,MARTEN TRANS,MARTEN TRANSPORT,MARTEN TRANSPORT LTD,MARTEN TRANS,MARTEN TRANSPORT
MARTIN MAR MATLS,MARTIN MAR MATLS,MARTIN MARIETTA MATERIALS,MARTIN MARIETTA MATERIALS,MARTIN MAR MATLS,MARTIN MARIETTA MATERIALS
MASCO,MASCO,MASCO,MASCO CORP,MASCO,MASCO
MASCO CP,MASCO CP,MASCO,MASCO CORP,MASCO,MASCO
MASIMO CORP,MASIMO,MASIMO,MASIMO CORP,MASIMO,MASIMO
MASTEC INC,MASTEC,MASTEC,MASTEC INC,MASTEC,MASTEC
MASTERCARD,MASTERCARD,MASTERCARD,MASTERCARD INC,MASTERCARD,MASTERCARD
MATADOR RESOURCE,MATADOR RESOURCE,MATADOR RESOURCES CO,MATADOR RESOURCES CO,MATADOR RESOURCES,MATADOR RESOURCES
MATERION,MATERION,MATERION,MATERION CORP,MATERION,MATERION
MATERION CORP,MATERION,MATERION,MATERION CORP,MATERION,MATERION
MATRIX SERVICE,MATRIX SERVICE,MATRIX SERVICE CO,MATRIX SERVICE CO,MATRIX SERVICES,MATRIX SERVICES
MATRIX SVC CO,MATRIX SVC CO,MATRIX SERVICE CO,MATRIX SERVICE CO,MATRIX SERVICES,MATRIX SERVICES
MATSON INC,MATSON,MATSON,MATSON INC,MATSON,MATSON
MATTEL,MATTEL,MATTEL,MATTEL INC,MATTEL,MATTEL
MATTEL INC,MATTEL,MATTEL,MATTEL INC,MATTEL,MATTEL
MATTERSIGHT CORP,MATTERSIGHT,MATTERSIGHT,MATTERSIGHT CORP,MATTERSIGHT,MATTERSIGHT
MATTHEWS INTL,MATTHEWS INTL,MATTHEWS INTL  -CL A,MATTHEWS INTL CORP  -CL A,MATTHEWS INTERNATIONAL,MATTHEWS INTERNATIONAL CORP  CL A
MAXIM INTEGRATED,MAXIM INTEGRATED,MAXIM INTEGRATED PRODUCTS,MAXIM INTEGRATED PRODUCTS,MAXIM INTEGRATED,MAXIM INTEGRATED PRODUCTS
MAXIMUS INC,MAXIMUS,MAXIMUS,MAXIMUS INC,MAXIMUS,MAXIMUS
MAXLINEAR INC,MAXLINEAR,MAXLINEAR,MAXLINEAR INC,MAXLINEAR,MAXLINEAR
MB FINANCIAL INC,MB FINANCIAL,MB FINANCIAL/MD,MB FINANCIAL INC/MD,MB FINANCIAL,MB FINANCIAL INCMD
MBIA INC,MBIA,MBIA,MBIA INC,MBIA,MBIA
MCCORMICK,MCCORMICK,MCCORMICK & CO,MCCORMICK & CO INC,MCCORMICK,MCCORMICK  CO
MCCORMICK & CO,MCCORMICK & CO,MCCORMICK & CO,MCCORMICK & CO INC,MCCORMICK ,MCCORMICK  CO
MCDONALDS CP,MCDONALDS CP,MCDONALD'S,MCDONALD'S CORP,MCDONALDS,MCDONALDS
MCKESSON,MCKESSON,MCKESSON,MCKESSON CORP,MCKESSON,MCKESSON
MCKESSON CORP,MCKESSON,MCKESSON,MCKESSON CORP,MCKESSON,MCKESSON
MDC HOLDINGS,MDC,MDC,MDC HOLDINGS INC,MDC HOLDINGS,MDC HOLDINGS
MDU RESOURCES GP,MDU RESOURCES GP,MDU RESOURCES GROUP,MDU RESOURCES GROUP INC,MDU RESOURCES GP,MDU RESOURCES GROUP
MDU RSRCS GROUP,MDU RSRCS GROUP,MDU RESOURCES GROUP,MDU RESOURCES GROUP INC,MDU RSRCS GROUP,MDU RESOURCES GROUP
MEAD JOHNSON,MEAD JOHNSON,MEAD JOHNSON NUTRITION CO,MEAD JOHNSON NUTRITION CO,MEAD JOHNSON,MEAD JOHNSON NUTRITION
MEAD JOHNSON NUT,MEAD JOHNSON NUT,MEAD JOHNSON NUTRITION CO,MEAD JOHNSON NUTRITION CO,MEAD JOHNSON NUT,MEAD JOHNSON NUTRITION
MEADOWBROOK INS,MEADOWBROOK INS,MEADOWBROOK INS GROUP,MEADOWBROOK INS GROUP INC,MEADOWBROOK INS,MEADOWBROOK INS GROUP
MEADWESTVACO CP,MEADWESTVACO CP,MEADWESTVACO,MEADWESTVACO CORP,MEADWESTVACO,MEADWESTVACO
MEASUREMENT SPEC,MEASUREMENT SPEC,MEASUREMENT SPECIALTIES,MEASUREMENT SPECIALTIES INC,MEASUREMENT SPEC,MEASUREMENT SPECIALTIES
MEDASSETS INC,MEDASSETS,MEDASSETS,MEDASSETS INC,MEDASSETS,MEDASSETS
MEDICAL PPTYS TR,MEDICAL PPTYS TR,MEDICAL PROPERTIES TRUST,MEDICAL PROPERTIES TRUST,MEDICAL PPTYS TR,MEDICAL PROPERTIES TRUST
MEDICINES,MEDICINES,MEDICINES CO (THE),MEDICINES CO (THE),MEDICINES,MEDICINES CO THE
MEDICINES COMP,MEDICINES COMP,MEDICINES CO (THE),MEDICINES CO (THE),MEDICINES COMP,MEDICINES CO THE
MEDIDATA,MEDIDATA,MEDIDATA SOLUTIONS,MEDIDATA SOLUTIONS INC,MEDIDATA,MEDIDATA SOLUTIONS
MEDIDATA SOLUTIO,MEDIDATA SOLUTIO,MEDIDATA SOLUTIONS,MEDIDATA SOLUTIONS INC,MEDIDATA SOLUTIO,MEDIDATA SOLUTIONS
MEDIFAST,MEDIFAST,MEDIFAST,MEDIFAST INC,MEDIFAST,MEDIFAST
MEDIFAST INC,MEDIFAST,MEDIFAST,MEDIFAST INC,MEDIFAST,MEDIFAST
MEDNAX INC,MEDNAX,MEDNAX,MEDNAX INC,MEDNAX,MEDNAX
MEDPACE HOLDINGS,MEDPACE,MEDPACE,MEDPACE HOLDINGS INC,MEDPACE HOLDINGS,MEDPACE HOLDINGS
MEDTRONIC,MEDTRONIC,MEDTRONIC,MEDTRONIC PLC,MEDTRONIC,MEDTRONIC
MENTOR GRAPHICS,MENTOR GRAPHICS,MENTOR GRAPHICS,MENTOR GRAPHICS CORP,MENTOR GRAPHICS,MENTOR GRAPHICS
MERCER INTL INC,MERCER INTL,MERCER INTL,MERCER INTL INC,MERCER INTERNATIONAL,MERCER INTERNATIONAL
MERCK & CO,MERCK & CO,MERCK & CO,MERCK & CO,MERCK ,MERCK 
"MERCK & CO., INC",MERCK & CO.,MERCK & CO,MERCK & CO,MERCK  CO,MERCK 
MERCURY COMP SYS,MERCURY COMP SYS,MERCURY SYSTEMS,MERCURY SYSTEMS INC,MERCURY COMP SYS,MERCURY SYSTEMS
MERCURY GEN CP,MERCURY GEN CP,MERCURY GENERAL,MERCURY GENERAL CORP,MERCURY GEN,MERCURY GENERAL
MERCURY SYSTEMS,MERCURY SYSTEMS,MERCURY SYSTEMS,MERCURY SYSTEMS INC,MERCURY SYSTEMS,MERCURY SYSTEMS
MEREDITH,MEREDITH,MEREDITH,MEREDITH CORP,MEREDITH,MEREDITH
MERIDIAN BIOSCI,MERIDIAN BIOSCI,MERIDIAN BIOSCIENCE,MERIDIAN BIOSCIENCE INC,MERIDIAN BIOSCI,MERIDIAN BIOSCIENCE
MERIT MED,MERIT MED,MERIT MEDICAL SYSTEMS,MERIT MEDICAL SYSTEMS INC,MERIT MED,MERIT MEDICAL SYSTEMS
MERIT MED SYS IN,MERIT MED SYS IN,MERIT MEDICAL SYSTEMS,MERIT MEDICAL SYSTEMS INC,MERIT MED SYS IN,MERIT MEDICAL SYSTEMS
MERITAGE HOMES,MERITAGE HOMES,MERITAGE HOMES,MERITAGE HOMES CORP,MERITAGE HOMES,MERITAGE HOMES
MERITOR,MERITOR,MERITOR,MERITOR INC,MERITOR,MERITOR
MERITOR INC,MERITOR,MERITOR,MERITOR INC,MERITOR,MERITOR
MESA LABORATORIE,MESA LABORATORIE,MESA LABORATORIES,MESA LABORATORIES INC,MESA LABORATORIE,MESA LABORATORIES
MESA LABS,MESA LABS,MESA LABORATORIES,MESA LABORATORIES INC,MESA LABS,MESA LABORATORIES
META FINANCIAL,META FINANCIAL,META FINANCIAL GROUP,META FINANCIAL GROUP INC,META FINANCIAL,META FINANCIAL GROUP
METHODE ELCTRNCS,METHODE ELCTRNCS,METHODE ELECTRONICS,METHODE ELECTRONICS INC,METHODE ELCTRNCS,METHODE ELECTRONICS
METHODE ELECTRS,METHODE ELECTRS,METHODE ELECTRONICS,METHODE ELECTRONICS INC,METHODE ELECTRS,METHODE ELECTRONICS
METLIFE,METLIFE,METLIFE,METLIFE INC,METLIFE,METLIFE
METLIFE INC,METLIFE,METLIFE,METLIFE INC,METLIFE,METLIFE
METTLER-TOLEDO,METTLER-TOLEDO,METTLER-TOLEDO INTL,METTLER-TOLEDO INTL INC,METTLERTOLEDO,METTLERTOLEDO INTERNATIONAL
METTLERTOLEDO,METTLERTOLEDO,METTLER-TOLEDO INTL,METTLER-TOLEDO INTL INC,METTLERTOLEDO,METTLERTOLEDO INTERNATIONAL
MFG,MFG,META FINANCIAL GROUP,META FINANCIAL GROUP INC,MFG,META FINANCIAL GROUP
MGIC INVT CORP W,MGIC INVT W,MGIC INVESTMENT/WI,MGIC INVESTMENT CORP/WI,MGIC INVT CORP W,MGIC INVESTMENTS CORPWI
MGM RESORTS INTE,MGM RESORTS INTE,MGM RESORTS INTERNATIONAL,MGM RESORTS INTERNATIONAL,MGM RESORTS INTE,MGM RESORTS INTERNATIONAL
MGM RESORTS INTL,MGM RESORTS INTL,MGM RESORTS INTERNATIONAL,MGM RESORTS INTERNATIONAL,MGM RESORTS INTERNATIONAL,MGM RESORTS INTERNATIONAL
MGP INGREDIENTS,MGP INGREDIENTS,MGP INGREDIENTS,MGP INGREDIENTS INC,MGP INGREDIENTS,MGP INGREDIENTS
MICHAELS COMPANS,MICHAELS COMPANS,MICHAELS,MICHAELS COS INC,MICHAELS COMPANS,MICHAELS COS
MICREL,MICREL,MICREL,MICREL INC,MICREL,MICREL
MICROCHIP TECH,MICROCHIP TECH,MICROCHIP TECHNOLOGY,MICROCHIP TECHNOLOGY INC,MICROCHIP TECHNOLOGY,MICROCHIP TECHNOLOGY
MICRON TECH,MICRON TECH,MICRON TECHNOLOGY,MICRON TECHNOLOGY INC,MICRON TECHNOLOGY,MICRON TECHNOLOGY
MICROS SYS INC,MICROS SYS,MICROS SYSTEMS,MICROS SYSTEMS INC,MICROS SYS,MICROS SYSTEMS
MICROSEMI CP,MICROSEMI CP,MICROSEMI,MICROSEMI CORP,MICROSEMI,MICROSEMI
MICROSOFT,MICROSOFT,MICROSOFT,MICROSOFT CORP,MICROSOFT,MICROSOFT
MICROSTRATEGY,MICROSTRATEGY,MICROSTRATEGY,MICROSTRATEGY INC,MICROSTRATEGY,MICROSTRATEGY
